,Name,Indian rupee
0,1978-12-31,0.0
1,1979-01-31,1852.8
2,1979-02-28,2010.4
3,1979-03-30,1974.9
4,1979-04-30,1960.9
5,1979-05-31,2119.4
6,1979-06-29,2248.9
7,1979-07-31,2309.7
8,1979-08-31,2409.8
9,1979-09-28,2865.0
10,1979-10-31,3204.0
11,1979-11-30,3183.5
12,1979-12-31,3731.8
13,1980-01-31,5358.0
14,1980-02-29,5286.7
15,1980-03-31,4511.5
16,1980-04-30,4164.4
17,1980-05-30,4053.3
18,1980-06-30,4711.1
19,1980-07-31,5012.4
20,1980-08-29,4867.0
21,1980-09-30,5211.1
22,1980-10-31,5112.3
23,1980-11-28,4833.7
24,1980-12-31,4705.2
25,1981-01-30,4430.0
26,1981-02-27,4110.2
27,1981-03-31,4093.1
28,1981-04-30,4107.8
29,1981-05-29,4034.0
30,1981-06-30,3968.2
31,1981-07-31,3632.1
32,1981-08-31,3705.0
33,1981-09-30,4039.1
34,1981-10-30,3998.6
35,1981-11-30,3766.8
36,1981-12-31,3749.3
37,1982-01-29,3507.0
38,1982-02-26,3440.4
39,1982-03-31,3064.7
40,1982-04-30,3274.2
41,1982-05-31,3107.0
42,1982-06-30,2970.0
43,1982-07-30,3224.8
44,1982-08-31,3468.6
45,1982-09-30,4223.6
46,1982-10-29,4094.0
47,1982-11-30,4050.1
48,1982-12-31,4296.4
49,1983-01-31,4734.4
50,1983-02-28,4880.2
51,1983-03-31,4183.6
52,1983-04-29,4309.0
53,1983-05-31,4365.0
54,1983-06-30,4153.3
55,1983-07-29,4255.1
56,1983-08-31,4230.6
57,1983-09-30,4204.6
58,1983-10-31,4021.9
59,1983-11-30,3949.9
60,1983-12-30,4063.4
61,1984-01-31,3966.9
62,1984-02-29,4129.8
63,1984-03-30,4228.2
64,1984-04-30,4116.2
65,1984-05-31,4139.7
66,1984-06-29,4173.9
67,1984-07-31,3934.7
68,1984-08-31,4003.5
69,1984-09-28,4016.6
70,1984-10-31,4070.5
71,1984-11-30,4105.2
72,1984-12-31,3908.7
73,1985-01-31,3813.3
74,1985-02-28,3869.6
75,1985-03-29,3856.6
76,1985-04-30,4005.6
77,1985-05-31,3917.7
78,1985-06-28,3910.0
79,1985-07-31,3800.5
80,1985-08-30,3918.4
81,1985-09-30,3894.0
82,1985-10-31,3902.6
83,1985-11-29,3903.3
84,1985-12-31,3871.6
85,1986-01-31,4214.4
86,1986-02-28,4175.8
87,1986-03-31,4210.4
88,1986-04-30,4199.6
89,1986-05-30,4253.5
90,1986-06-30,4294.2
91,1986-07-31,4345.9
92,1986-08-29,4702.3
93,1986-09-30,5263.4
94,1986-10-31,5431.1
95,1986-11-28,5188.3
96,1986-12-31,5107.2
97,1987-01-30,5287.4
98,1987-02-27,5213.6
99,1987-03-31,5249.5
100,1987-04-30,5576.8
101,1987-05-29,5825.5
102,1987-06-30,5759.7
103,1987-07-31,5839.1
104,1987-08-31,6003.6
105,1987-09-30,5946.9
106,1987-10-30,6027.9
107,1987-11-30,6028.1
108,1987-12-31,6263.6
109,1988-01-29,6205.0
110,1988-02-29,5745.4
111,1988-03-31,5730.3
112,1988-04-29,5929.5
113,1988-05-31,5971.2
114,1988-06-30,6214.3
115,1988-07-29,6145.9
116,1988-08-31,6127.6
117,1988-09-30,5955.0
118,1988-10-31,5945.8
119,1988-11-30,6256.7
120,1988-12-30,6273.0
121,1989-01-31,6095.1
122,1989-02-28,5892.9
123,1989-03-31,6010.9
124,1989-04-28,6013.3
125,1989-05-31,5993.6
126,1989-06-30,5996.8
127,1989-07-31,6097.1
128,1989-08-31,6049.7
129,1989-09-29,6019.8
130,1989-10-31,6144.9
131,1989-11-30,6637.0
132,1989-12-29,6901.5
133,1990-01-31,6936.4
134,1990-02-28,7062.9
135,1990-03-30,6704.4
136,1990-04-30,6467.5
137,1990-05-31,6373.3
138,1990-06-29,6119.0
139,1990-07-31,6299.5
140,1990-08-31,6831.9
141,1990-09-28,6940.7
142,1990-10-31,6878.5
143,1990-11-30,6895.4
144,1990-12-31,6841.7
145,1991-01-31,7032.1
146,1991-02-28,6849.6
147,1991-03-29,7003.6
148,1991-04-30,7145.3
149,1991-05-31,7318.0
150,1991-06-28,7699.4
151,1991-07-31,9363.9
152,1991-08-30,9195.7
153,1991-09-30,8994.2
154,1991-10-31,9251.2
155,1991-11-29,9294.5
156,1991-12-31,9315.3
157,1992-01-31,9171.7
158,1992-02-28,9185.5
159,1992-03-31,9707.3
160,1992-04-30,9751.6
161,1992-05-29,9601.9
162,1992-06-30,9684.5
163,1992-07-31,10051.6
164,1992-08-31,9712.6
165,1992-09-30,9788.5
166,1992-10-30,9776.5
167,1992-11-30,9503.9
168,1992-12-31,9655.0
169,1993-01-29,9502.1
170,1993-02-26,9852.0
171,1993-03-31,10427.5
172,1993-04-30,10723.1
173,1993-05-31,11511.3
174,1993-06-30,11684.0
175,1993-07-30,12303.7
176,1993-08-31,11904.9
177,1993-09-30,11171.9
178,1993-10-29,11435.8
179,1993-11-30,11724.6
180,1993-12-31,12038.1
181,1994-01-31,12135.5
182,1994-02-28,11979.9
183,1994-03-31,12051.7
184,1994-04-29,11834.4
185,1994-05-31,11965.0
186,1994-06-30,12093.2
187,1994-07-29,12092.6
188,1994-08-31,11931.7
189,1994-09-30,12283.6
190,1994-10-31,12227.1
191,1994-11-30,12065.8
192,1994-12-30,11904.5
193,1995-01-31,11875.4
194,1995-02-28,11817.6
195,1995-03-31,12074.7
196,1995-04-28,12278.7
197,1995-05-31,12101.2
198,1995-06-30,12166.9
199,1995-07-31,12118.5
200,1995-08-31,12110.8
201,1995-09-29,12720.7
202,1995-10-31,13245.3
203,1995-11-30,13363.8
204,1995-12-29,13534.6
205,1996-01-31,14294.6
206,1996-02-29,14788.7
207,1996-03-29,13584.9
208,1996-04-30,13425.7
209,1996-05-31,13662.2
210,1996-06-28,13450.1
211,1996-07-31,13582.6
212,1996-08-30,13791.0
213,1996-09-30,13670.9
214,1996-10-31,13586.4
215,1996-11-29,13495.4
216,1996-12-31,13224.6
217,1997-01-31,12735.5
218,1997-02-28,12433.5
219,1997-03-31,12615.8
220,1997-04-30,12333.8
221,1997-05-30,12310.7
222,1997-06-30,12198.1
223,1997-07-31,11578.4
224,1997-08-29,11634.2
225,1997-09-30,11757.6
226,1997-10-31,11768.3
227,1997-11-28,11389.3
228,1997-12-31,11323.3
229,1998-01-30,11340.2
230,1998-02-27,11575.8
231,1998-03-31,11692.8
232,1998-04-30,12222.7
233,1998-05-29,12081.6
234,1998-06-30,12345.3
235,1998-07-31,12449.4
236,1998-08-31,12148.9
237,1998-09-30,12285.0
238,1998-10-30,12525.9
239,1998-11-30,12465.3
240,1998-12-31,12413.6
241,1999-01-29,12205.4
242,1999-02-26,12209.1
243,1999-03-31,12136.4
244,1999-04-30,12079.2
245,1999-05-31,11823.4
246,1999-06-30,11273.4
247,1999-07-30,11083.2
248,1999-08-31,11153.5
249,1999-09-30,11526.2
250,1999-10-29,13499.4
251,1999-11-30,12723.1
252,1999-12-31,12307.4
253,2000-01-31,12383.2
254,2000-02-29,13076.2
255,2000-03-31,12481.8
256,2000-04-28,12205.7
257,2000-05-31,12100.2
258,2000-06-30,12766.6
259,2000-07-31,12608.5
260,2000-08-31,12537.3
261,2000-09-29,12557.9
262,2000-10-31,12511.2
263,2000-11-30,12441.9
264,2000-12-29,12690.7
265,2001-01-31,12352.3
266,2001-02-28,12181.4
267,2001-03-30,12260.3
268,2001-04-30,12175.4
269,2001-05-31,12777.7
270,2001-06-29,12699.0
271,2001-07-31,12608.9
272,2001-08-31,12835.3
273,2001-09-28,13501.6
274,2001-10-31,13589.7
275,2001-11-30,13254.2
276,2001-12-31,13205.2
277,2002-01-31,13596.5
278,2002-02-28,14378.4
279,2002-03-29,14325.4
280,2002-04-30,14799.4
281,2002-05-31,15400.2
282,2002-06-28,15714.3
283,2002-07-31,15270.2
284,2002-08-30,15067.0
285,2002-09-30,15452.8
286,2002-10-31,15303.8
287,2002-11-29,15391.0
288,2002-12-31,15973.1
289,2003-01-31,17094.4
290,2003-02-28,17136.7
291,2003-03-31,16221.2
292,2003-04-30,15547.4
293,2003-05-30,16744.2
294,2003-06-30,16640.5
295,2003-07-31,16221.3
296,2003-08-29,16520.0
297,2003-09-30,17365.8
298,2003-10-31,17195.6
299,2003-11-28,17756.6
300,2003-12-31,18538.2
301,2004-01-30,18794.8
302,2004-02-27,18312.7
