Name,US dollar,Euro,Japanese yen,Pound sterling,Canadian dollar,Swiss franc,Indian rupee,Chinese renmimbi,US dollar,Turkish lira,Saudi riyal,Indonesian rupiah,UAE dirham,Thai baht,Vietnamese dong,Egyptian pound,Korean won,Euro,Russian ruble,US dollar,South African rand,Chinese renmimbi,Canadian dollar,Australian dollar
31/12/1978,207.8,129.2,0,104.6,0,0,0,0,207.8,0,0,0,0,0,0,0,0,129.2,0,207.8,0,0,0,0
31/01/1979,227.3,139.5,44853.1,113.3,269.5,378.8,1852.8,0,227.3,0,754.1,"1,41,796.4",869.4,4582.2,0,0,"1,11,186.6",139.5,0,227.3,197,0,269.5,198.6
28/02/1979,245.7,151.3,49213.2,122.5,293.2,410.6,2010.4,0,245.7,0,822.3,"1,53,099.6",939.1,4949.5,0,0,"1,18,284.0",151.3,0,245.7,209.9,0,293.2,216.7
30/03/1979,242.1,149.3,49989.4,118.8,284.2,407.3,1974.9,0,242.1,0,810.1,"1,51,068.5",926.2,4884.5,0,0,"1,16,507.1",149.3,0,242.1,204.4,0,284.2,215.9
30/04/1979,239.2,148.8,51707.2,115.4,274.2,410.5,1960.9,0,239.2,0,817.3,"1,49,744.3",919.9,4842.6,0,0,"1,15,555.9",148.8,0,239.2,202.8,0,274.2,215.8
31/05/1979,257.6,161,56429.3,125.2,297.7,445.4,2119.4,0,257.6,0,870.7,"1,60,957.0",983.5,5208.5,0,0,"1,24,738.2",161,0,257.6,217.6,0,297.7,233
29/06/1979,279.1,173,61069.3,132.1,327.4,474.5,2248.9,0,279.1,0,941.3,"1,72,550.1",1064.8,5592.2,0,0,"1,32,563.7",173,0,279.1,235.6,0,327.4,251.1
31/07/1979,294.7,178.2,63843.1,130.5,343,486.1,2309.7,0,294.7,0,980.4,"1,82,837.9",1109.8,5881.5,0,0,"1,37,305.9",178.2,0,294.7,248.5,0,343,261.4
31/08/1979,300.8,182,65530.2,134.5,352,498.5,2409.8,0,300.8,0,1024.8,"1,90,103.6",1147.1,6194.9,0,0,"1,48,383.2",182,0,300.8,252,0,352,266.6
28/09/1979,355.1,212.4,78779.2,161.6,413,571.4,2865,0,355.1,0,1189.7,"2,21,560.7",1343.1,7260.9,0,0,"1,75,525.8",212.4,0,355.1,294.6,0,413,314.7
31/10/1979,391.7,235.4,90002.7,182.6,459.1,637.1,3204,0,391.7,0,1319,"2,45,305.8",1488.5,7981.6,0,0,"1,93,444.0",235.4,0,391.7,323.8,0,459.1,350.9
30/11/1979,392,234.8,95936.2,183.7,461.9,643.9,3183.5,0,392,0,1315.7,"2,44,624.9",1465.9,7876.6,0,0,"1,84,889.7",234.8,0,392,324.3,0,461.9,357.9
31/12/1979,455.1,268.2,"1,11,042.2",207.2,540.6,739.8,3731.8,0,455.1,0,1551.9,"2,88,307.7",1751.8,9383.5,0,0,"2,23,444.2",268.2,0,455.1,382,0,540.6,418.8
31/01/1980,675.3,395.1,"1,60,503.7",298,784.8,1076.1,5358,0,675.3,0,2264.6,"4,21,650.5",2551.9,13731.5,0,0,"3,23,082.0",395.1,0,675.3,553.1,0,784.8,607.6
29/02/1980,665.3,392.5,"1,62,529.5",290.5,769.6,1091.1,5286.7,0,665.3,0,2227.3,"4,15,365.3",2485.2,13469,0,0,"3,82,813.6",392.5,0,665.3,541.8,0,769.6,602.7
31/03/1980,553.6,343.6,"1,37,667.9",250.7,648.9,975.8,4511.5,0,553.6,0,1856.4,"3,46,958.8",2076.6,11287.7,0,0,"3,30,759.4",343.6,0,553.6,448.8,0,648.9,508
30/04/1980,517.4,326.1,"1,29,014.5",233.6,613.2,907,4164.4,0,517.4,0,1717.3,"3,22,285.8",1927.5,10475.5,0,0,"2,97,208.7",326.1,0,517.4,417.4,0,613.2,473.3
30/05/1980,513.8,312.8,"1,17,281.6",223.1,603.2,854.9,4053.3,0,513.8,0,1689.7,"3,17,460.1",1892.1,10391.1,0,0,"2,98,538.7",312.8,0,513.8,406.2,0,603.2,454.5
30/06/1980,600.7,361.2,"1,30,957.3",257,691.9,981.3,4711.1,0,600.7,0,2008.2,"3,76,502.8",2233.2,12248.2,0,0,"3,59,842.5",361.2,0,600.7,465.7,0,691.9,520.7
31/07/1980,644.3,384.8,"1,42,641.2",271.6,743.4,1038.1,5012.4,0,644.3,0,2142.5,"4,03,482.1",2387.6,13093.4,0,0,"3,86,803.2",384.8,0,644.3,493.6,0,743.4,556.8
29/08/1980,627.2,382.4,"1,40,384.5",264.5,726.4,1035,4867,0,627.2,0,2072.6,"3,90,973.1",2303.6,12705.7,0,0,"3,80,103.4",382.4,0,627.2,476.4,0,726.4,541.2
30/09/1980,673.6,412.4,"1,44,562.5",280.5,784.6,1104.9,5211.1,0,673.6,0,2235.2,"4,21,213.0",2481,13697.3,0,0,"4,14,638.8",412.4,0,673.6,507.4,0,784.6,575.6
31/10/1980,661.2,414.3,"1,38,469.5",273.6,773.7,1099.6,5112.3,0,661.2,0,2195.6,"4,13,691.1",2436.8,13461.8,0,0,"4,10,082.6",414.3,0,661.2,496.9,0,773.7,563.7
28/11/1980,623.5,406.1,"1,32,816.5",260.2,739.5,1078.2,4833.7,0,623.5,0,2071.2,"3,89,668.8",2292.5,12758.6,0,0,"4,12,966.0",406.1,0,623.5,468.3,0,739.5,534.2
