,Name,US dollar
0,1978-12-31,207.8
1,1979-01-31,227.3
2,1979-02-28,245.7
3,1979-03-30,242.1
4,1979-04-30,239.2
5,1979-05-31,257.6
6,1979-06-29,279.1
7,1979-07-31,294.7
8,1979-08-31,300.8
9,1979-09-28,355.1
10,1979-10-31,391.7
11,1979-11-30,392.0
12,1979-12-31,455.1
13,1980-01-31,675.3
14,1980-02-29,665.3
15,1980-03-31,553.6
16,1980-04-30,517.4
17,1980-05-30,513.8
18,1980-06-30,600.7
19,1980-07-31,644.3
20,1980-08-29,627.2
21,1980-09-30,673.6
22,1980-10-31,661.2
23,1980-11-28,623.5
24,1980-12-31,594.9
25,1981-01-30,557.4
26,1981-02-27,499.8
27,1981-03-31,498.8
28,1981-04-30,495.8
29,1981-05-29,479.7
30,1981-06-30,460.8
31,1981-07-31,409.3
32,1981-08-31,410.2
33,1981-09-30,443.8
34,1981-10-30,437.8
35,1981-11-30,413.4
36,1981-12-31,410.1
37,1982-01-29,384.1
38,1982-02-26,374.1
39,1982-03-31,330.3
40,1982-04-30,350.3
41,1982-05-31,333.8
42,1982-06-30,315.0
43,1982-07-30,339.0
44,1982-08-31,364.2
45,1982-09-30,437.3
46,1982-10-29,422.2
47,1982-11-30,414.9
48,1982-12-31,444.3
49,1983-01-31,481.3
50,1983-02-28,491.2
51,1983-03-31,419.7
52,1983-04-29,432.9
53,1983-05-31,438.0
54,1983-06-30,412.8
55,1983-07-29,422.7
56,1983-08-31,416.2
57,1983-09-30,411.8
58,1983-10-31,393.6
59,1983-11-30,381.7
60,1983-12-30,388.3
61,1984-01-31,370.9
62,1984-02-29,385.9
63,1984-03-30,394.3
64,1984-04-30,381.4
65,1984-05-31,377.4
66,1984-06-29,377.7
67,1984-07-31,347.5
68,1984-08-31,347.7
69,1984-09-28,341.1
70,1984-10-31,340.2
71,1984-11-30,341.2
72,1984-12-31,320.2
73,1985-01-31,302.8
74,1985-02-28,299.1
75,1985-03-29,303.9
76,1985-04-30,325.3
77,1985-05-31,316.4
78,1985-06-28,316.5
79,1985-07-31,317.2
80,1985-08-30,329.8
81,1985-09-30,323.4
82,1985-10-31,325.8
83,1985-11-29,325.3
84,1985-12-31,321.9
85,1986-01-31,345.4
86,1986-02-28,338.9
87,1986-03-31,345.7
88,1986-04-30,340.4
89,1986-05-30,342.4
90,1986-06-30,342.7
91,1986-07-31,348.3
92,1986-08-29,376.6
93,1986-09-30,417.7
94,1986-10-31,423.5
95,1986-11-28,397.6
96,1986-12-31,390.9
97,1987-01-30,408.3
98,1987-02-27,401.1
99,1987-03-31,408.9
100,1987-04-30,438.4
101,1987-05-29,460.2
102,1987-06-30,449.6
103,1987-07-31,450.5
104,1987-08-31,461.2
105,1987-09-30,460.4
106,1987-10-30,465.4
107,1987-11-30,467.6
108,1987-12-31,486.2
109,1988-01-29,476.6
110,1988-02-29,442.1
111,1988-03-31,443.6
112,1988-04-29,451.6
113,1988-05-31,451.1
114,1988-06-30,451.3
115,1988-07-29,437.6
116,1988-08-31,431.3
117,1988-09-30,413.5
118,1988-10-31,406.8
119,1988-11-30,420.2
120,1988-12-30,419.1
121,1989-01-31,404.0
122,1989-02-28,387.5
123,1989-03-31,390.2
124,1989-04-28,384.4
125,1989-05-31,371.1
126,1989-06-30,367.6
127,1989-07-31,375.0
128,1989-08-31,365.1
129,1989-09-29,361.8
130,1989-10-31,366.9
131,1989-11-30,394.3
132,1989-12-29,409.4
133,1990-01-31,410.1
134,1990-02-28,416.8
135,1990-03-30,393.1
136,1990-04-30,374.2
137,1990-05-31,369.1
138,1990-06-29,352.3
139,1990-07-31,362.5
140,1990-08-31,394.7
141,1990-09-28,389.3
142,1990-10-31,380.7
143,1990-11-30,381.7
144,1990-12-31,377.0
145,1991-01-31,383.6
146,1991-02-28,363.8
147,1991-03-29,363.3
148,1991-04-30,358.4
149,1991-05-31,357.0
150,1991-06-28,366.7
151,1991-07-31,367.7
152,1991-08-30,356.3
153,1991-09-30,348.7
154,1991-10-31,358.7
155,1991-11-29,360.2
156,1991-12-31,361.7
157,1992-01-31,354.5
158,1992-02-28,353.9
159,1992-03-31,344.3
160,1992-04-30,338.6
161,1992-05-29,337.2
162,1992-06-30,340.8
163,1992-07-31,352.7
164,1992-08-31,343.1
165,1992-09-30,345.4
166,1992-10-30,344.4
167,1992-11-30,335.0
168,1992-12-31,334.8
169,1993-01-29,329.0
170,1993-02-26,329.3
171,1993-03-31,330.1
172,1993-04-30,342.2
173,1993-05-31,367.2
174,1993-06-30,371.9
175,1993-07-30,392.2
176,1993-08-31,378.8
177,1993-09-30,355.3
178,1993-10-29,364.2
179,1993-11-30,373.8
180,1993-12-31,383.3
181,1994-01-31,386.9
182,1994-02-28,381.9
183,1994-03-31,384.1
184,1994-04-29,377.3
185,1994-05-31,381.4
186,1994-06-30,385.6
187,1994-07-29,385.5
188,1994-08-31,380.4
189,1994-09-30,391.6
190,1994-10-31,389.8
191,1994-11-30,384.4
192,1994-12-30,379.3
193,1995-01-31,378.6
194,1995-02-28,376.6
195,1995-03-31,382.1
196,1995-04-28,391.0
197,1995-05-31,385.2
198,1995-06-30,387.6
199,1995-07-31,386.2
200,1995-08-31,383.7
201,1995-09-29,383.1
202,1995-10-31,383.1
203,1995-11-30,385.3
204,1995-12-29,387.4
205,1996-01-31,399.5
206,1996-02-29,404.8
207,1996-03-29,396.2
208,1996-04-30,392.9
209,1996-05-31,391.9
210,1996-06-28,385.3
211,1996-07-31,383.5
212,1996-08-30,387.3
213,1996-09-30,383.2
214,1996-10-31,381.1
215,1996-11-29,377.9
216,1996-12-31,369.0
217,1997-01-31,355.1
218,1997-02-28,346.6
219,1997-03-31,351.8
220,1997-04-30,344.5
221,1997-05-30,343.8
222,1997-06-30,340.8
223,1997-07-31,324.1
224,1997-08-29,324.0
225,1997-09-30,322.8
226,1997-10-31,324.9
227,1997-11-28,306.0
228,1997-12-31,288.7
229,1998-01-30,289.1
230,1998-02-27,297.5
231,1998-03-31,295.9
232,1998-04-30,308.3
233,1998-05-29,299.1
234,1998-06-30,292.3
235,1998-07-31,292.9
236,1998-08-31,284.1
237,1998-09-30,289.0
238,1998-10-30,295.9
239,1998-11-30,294.1
240,1998-12-31,291.7
241,1999-01-29,287.1
242,1999-02-26,287.3
243,1999-03-31,286.0
244,1999-04-30,282.6
245,1999-05-31,276.4
246,1999-06-30,261.3
247,1999-07-30,256.1
248,1999-08-31,256.7
249,1999-09-30,264.7
250,1999-10-29,310.7
251,1999-11-30,293.2
252,1999-12-31,283.1
253,2000-01-31,284.3
254,2000-02-29,299.9
255,2000-03-31,286.4
256,2000-04-28,279.7
257,2000-05-31,275.2
258,2000-06-30,285.7
259,2000-07-31,281.6
260,2000-08-31,274.5
261,2000-09-29,273.7
262,2000-10-31,270.0
263,2000-11-30,266.0
264,2000-12-29,271.5
265,2001-01-31,265.5
266,2001-02-28,261.9
267,2001-03-30,263.0
268,2001-04-30,260.5
269,2001-05-31,272.4
270,2001-06-29,270.2
271,2001-07-31,267.5
272,2001-08-31,272.4
273,2001-09-28,283.4
274,2001-10-31,283.1
275,2001-11-30,276.2
276,2001-12-31,275.9
277,2002-01-31,281.5
278,2002-02-28,295.5
279,2002-03-29,294.1
280,2002-04-30,302.7
281,2002-05-31,314.5
282,2002-06-28,321.2
283,2002-07-31,313.3
284,2002-08-30,310.3
285,2002-09-30,319.1
286,2002-10-31,316.6
287,2002-11-29,319.1
288,2002-12-31,331.9
289,2003-01-31,356.9
290,2003-02-28,359.0
291,2003-03-31,340.6
292,2003-04-30,328.2
293,2003-05-30,355.7
294,2003-06-30,356.4
295,2003-07-31,351.0
296,2003-08-29,359.8
297,2003-09-30,379.0
298,2003-10-31,378.9
299,2003-11-28,389.9
300,2003-12-31,407.0
301,2004-01-30,413.8
302,2004-02-27,404.9
303,2004-03-31,406.7
304,2004-04-30,403.3
305,2004-05-31,383.8
306,2004-06-30,392.4
307,2004-07-30,398.1
308,2004-08-31,400.5
309,2004-09-30,405.3
310,2004-10-29,420.5
311,2004-11-30,439.4
312,2004-12-31,442.1
313,2005-01-31,424.0
314,2005-02-28,423.4
315,2005-03-31,434.3
316,2005-04-29,429.2
317,2005-05-31,421.9
318,2005-06-30,430.7
319,2005-07-29,424.5
320,2005-08-31,437.9
321,2005-09-30,456.1
322,2005-10-31,469.9
323,2005-11-30,476.7
324,2005-12-30,510.1
325,2006-01-31,549.9
326,2006-02-28,555.0
327,2006-03-31,557.1
328,2006-04-28,610.7
329,2006-05-31,675.4
330,2006-06-30,596.2
331,2006-07-31,633.7
332,2006-08-31,632.6
333,2006-09-29,598.2
334,2006-10-31,585.8
335,2006-11-30,627.8
336,2006-12-29,629.8
337,2007-01-31,631.2
338,2007-02-28,664.7
339,2007-03-30,654.9
340,2007-04-30,679.4
341,2007-05-31,666.9
342,2007-06-29,655.5
343,2007-07-31,665.3
344,2007-08-31,665.4
345,2007-09-28,712.7
346,2007-10-31,754.6
347,2007-11-30,806.3
348,2007-12-31,803.2
349,2008-01-31,889.6
350,2008-02-29,922.3
351,2008-03-31,968.4
352,2008-04-30,909.7
353,2008-05-30,888.7
354,2008-06-30,889.5
355,2008-07-31,939.8
356,2008-08-29,839.0
357,2008-09-30,829.9
358,2008-10-31,806.6
359,2008-11-28,760.9
360,2008-12-31,816.1
361,2009-01-30,858.7
362,2009-02-27,943.2
363,2009-03-31,924.3
364,2009-04-30,890.2
365,2009-05-29,928.6
366,2009-06-30,945.7
367,2009-07-31,934.2
368,2009-08-31,949.4
369,2009-09-30,996.6
370,2009-10-30,1043.2
371,2009-11-30,1127.0
372,2009-12-31,1134.7
373,2010-01-29,1118.0
374,2010-02-26,1095.4
375,2010-03-31,1113.3
376,2010-04-30,1148.7
377,2010-05-31,1205.4
378,2010-06-30,1232.9
379,2010-07-30,1193.0
380,2010-08-31,1215.8
381,2010-09-30,1271.0
382,2010-10-29,1342.0
383,2010-11-30,1369.9
384,2010-12-31,1390.6
385,2011-01-31,1356.4
386,2011-02-28,1372.7
387,2011-03-31,1424.0
388,2011-04-29,1473.8
389,2011-05-31,1510.4
390,2011-06-30,1528.7
391,2011-07-29,1572.8
392,2011-08-31,1755.8
393,2011-09-30,1771.9
394,2011-10-31,1665.2
395,2011-11-30,1739.0
396,2011-12-30,1652.3
397,2012-01-31,1656.1
398,2012-02-29,1742.6
399,2012-03-30,1673.8
400,2012-04-30,1650.1
401,2012-05-31,1585.5
402,2012-06-29,1596.7
403,2012-07-31,1593.9
404,2012-08-31,1626.0
405,2012-09-28,1744.5
406,2012-10-31,1747.0
407,2012-11-30,1721.1
408,2012-12-31,1688.5
409,2013-01-31,1671.0
410,2013-02-28,1627.6
411,2013-03-29,1592.9
412,2013-04-30,1485.1
413,2013-05-31,1413.5
414,2013-06-28,1342.4
415,2013-07-31,1286.7
416,2013-08-30,1347.1
417,2013-09-30,1348.8
418,2013-10-31,1316.2
419,2013-11-29,1275.8
420,2013-12-31,1225.4
421,2014-01-31,1244.8
422,2014-02-28,1301.0
423,2014-03-31,1336.1
424,2014-04-30,1299.0
425,2014-05-30,1287.5
426,2014-06-30,1279.1
427,2014-07-31,1311.0
428,2014-08-29,1296.0
429,2014-09-30,1238.8
430,2014-10-31,1222.5
431,2014-11-28,1176.3
432,2014-12-31,1202.3
433,2015-01-30,1251.9
434,2015-02-27,1227.2
435,2015-03-31,1178.6
436,2015-04-30,1197.9
437,2015-05-29,1199.1
438,2015-06-30,1181.5
439,2015-07-31,1130.0
440,2015-08-31,1117.5
441,2015-09-30,1124.5
442,2015-10-30,1159.3
443,2015-11-30,1085.7
444,2015-12-31,1068.3
445,2016-01-29,1097.4
446,2016-02-29,1199.9
447,2016-03-31,1246.3
448,2016-04-29,1242.3
449,2016-05-31,1259.4
450,2016-06-30,1276.4
451,2016-07-29,1337.3
452,2016-08-31,1341.1
453,2016-09-30,1326.0
454,2016-10-31,1266.6
455,2016-11-30,1236.0
456,2016-12-30,1151.4
457,2017-01-31,1192.6
458,2017-02-28,1234.4
459,2017-03-31,1231.1
460,2017-04-28,1265.6
461,2017-05-31,1245.0
462,2017-06-30,1260.3
463,2017-07-31,1236.2
464,2017-08-31,1282.3
465,2017-09-29,1315.0
466,2017-10-31,1279.5
467,2017-11-30,1282.3
468,2017-12-29,1261.3
469,2018-01-31,1331.7
470,2018-02-28,1331.5
471,2018-03-30,1324.7
472,2018-04-30,1334.7
473,2018-05-31,1303.0
474,2018-06-29,1281.6
475,2018-07-31,1238.5
476,2018-08-31,1201.3
