Date,Price 
31-01-2018,3009
30-01-2018,3016
29-01-2018,3006
28-01-2018,3036
27-01-2018,3036
26-01-2018,3036
25-01-2018,3021
24-01-2018,3021
23-01-2018,2982
22-01-2018,2984
21-01-2018,2977
20-01-2018,2977
19-01-2018,2975
18-01-2018,2964
17-01-2018,2976
16-01-2018,2976
15-01-2018,2973
14-01-2018,2957
13-01-2018,2957
12-01-2018,2944
11-01-2018,2938
10-01-2018,2932
09-01-2018,2917
08-01-2018,2925
07-01-2018,2922
06-01-2018,2922
05-01-2018,2918
04-01-2018,2917
03-01-2018,2924
02-01-2018,2918
01-01-2018,2912
28-02-2018,3036
27-02-2018,3047
26-02-2018,3056
25-02-2018,3051
24-02-2018,3051
23-02-2018,3045
22-02-2018,3048
21-02-2018,3051
20-02-2018,3072
19-02-2018,3076
18-02-2018,3080
17-02-2018,3080
16-02-2018,3078
15-02-2018,3058
14-02-2018,3033
13-02-2018,3018
12-02-2018,3012
11-02-2018,3001
10-02-2018,3001
09-02-2018,2994
08-02-2018,2995
07-02-2018,3010
06-02-2018,3031
05-02-2018,3027
04-02-2018,3037
03-02-2018,3037
02-02-2018,3034
01-02-2018,3045
31-03-2018,3041
30-03-2018,3041
29-03-2018,3042
28-03-2018,3052
27-03-2018,3071
26-03-2018,3093
25-03-2018,3091
24-03-2018,3091
23-03-2018,3089
22-03-2018,3049
21-03-2018,3045
20-03-2018,3026
19-03-2018,3043
18-03-2018,3022
17-03-2018,3022
16-03-2018,3023
15-03-2018,3032
14-03-2018,3041
13-03-2018,3038
12-03-2018,3032
11-03-2018,3040
10-03-2018,3040
09-03-2018,3040
08-03-2018,3044
07-03-2018,3046
06-03-2018,3059
05-03-2018,3036
04-03-2018,3045
03-03-2018,3045
02-03-2018,3050
01-03-2018,3019
30-04-2018,3104
29-04-2018,3121
28-04-2018,3121
27-04-2018,3121
26-04-2018,3125
25-04-2018,3139
24-04-2018,3139
23-04-2018,3128
22-04-2018,3143
21-04-2018,3143
